time: 1000000000
148 14 984891 15110
148 15 932806 66944 0 99 107 0 45
148 16 966076 33925
148 17 969749 30252
148 18 771337 30264 0 139 135 0 152 323 30 916 3449 59365 126104 11 7776
148 19 982158 7330 0 158 165 0 358 3504 393 5284 279 372
148 20 999899 102
149 1 967080 32378 0 543
149 2 974850 24738 0 413
149 3 860046 124134 0 15329 491 0 1
149 4 999083 902 0 16
149 5 974130 25863 0 8
149 6 978078 21923
149 7 983105 16896
149 8 958616 41385
149 9 958306 41695
149 10 921547 40588 0 210 214 0 231 234 3 263 18410 1629 16252 0 420
149 11 985565 14436
149 12 999692 309
149 13 999111 890
149 14 937719 60707 0 110 97 7 102 10 89 85 0 540 518 0 17
149 15 987732 11270 0 103 88 5 105 16 82 100 0 253 247
149 16 990708 9293
149 17 985937 14064
149 18 999274 727
149 19 994518 5469 0 14
149 20 976787 23214
150 1 994123 5667 0 211
150 2 973109 26556 0 336
150 3 981653 18017 0 331
150 4 977008 22890 0 103
150 5 983758 16243
150 6 998807 1194
150 7 999322 679
150 8 998149 1852
150 9 913606 86395
150 10 998637 1364
150 11 998693 321 0 367 489 0 131
150 12 768080 184538 0 1690 248 0 13375 7175 4885 1623 4 12295 6088
150 13 999444 557
150 14 940458 43855 0 1276 2172 1 8661 1352 2226
150 15 726272 2433 0 14959 20223 0 100 73 39 125 0 134 143 0 153 4507 0 123580 54905 1110 399 170 260 450 24944 425 24089 0 259 227 0 22
150 16 999639 362
150 17 996889 3112
150 18 997849 2152
150 19 968651 30357 0 209 175 10 206 10 179 106 0 86 12
150 20 988042 11912 0 47
151 1 965816 31953 0 2225 7
151 2 998534 1464 0 3
151 3 985730 14132 0 139
151 4 932548 62196 0 5036 205 0 16
151 5 994076 5925
151 6 912780 86740 0 469 12
151 7 990951 9050
151 8 993989 6012
151 9 991291 8710
151 10 961487 27107 0 122 119 0 119 208 1714 5898 22 2677 528
151 11 974992 25009
151 12 925569 24530 0 413 418 0 427 604 0 1100 1500 11638 20333 0 268 251 0 272 276 0 285 413 3 4789 12 6879 21
151 13 958461 40906 0 125 127 0 154 149 0 79
151 14 954103 45639 0 259
151 15 999466 535
151 16 993051 6950
151 17 989028 10973
151 18 939322 59984 0 695
151 19 992687 7314
151 20 973776 26225
152 1 993612 6223 0 166
152 2 928956 67413 0 3624 8
152 3 996694 3184 0 123
152 4 984629 14950 0 422
152 5 986706 13295
152 6 978357 21633 0 11
152 7 696936 119159 0 9809 134 1 150 340 54 544 6266 19903 129105 81 17519
152 8 995725 4276
152 9 982228 9177 0 118 128 0 144 152 0 162 966 1493 4638 3 792
152 10 1000001
152 11 954578 35456 0 99 102 0 109 70 46 131 0 178 6699 0 2533
152 12 969207 30175 0 98 93 6 107 5 92 99 0 92 27
152 13 982520 16777 0 120 131 0 156 139 0 140 0 18
152 14 999691 310
152 15 552120 46996 0 622 754 0 1232 1439 122 2361 14991 85315 180426 132 9779 435 0 614 1097 6 1265 992 759 33938 5006 57964 1636
152 16 848319 109892 0 850 626 0 585 535 15 587 912 10725 24924 3 2028
152 17 994944 5057
152 18 997754 2247
152 19 999903 98
152 20 814532 97023 0 906 420 0 429 452 1 1267 28136 17534 38540 6 755
153 1 981915 18006 0 80
153 2 796743 106642 0 42033 12033 30 14901 16101 1561 8447 436 1010 64
153 3 989567 10405 0 29
153 4 997872 2122 0 7
153 5 996416 3581 0 4
153 6 972656 26223 0 1114 8
153 7 998697 1304
153 8 955294 44316 0 362 9 0 7 5 0 6 2
153 9 996046 3909 0 46
154 1 999705 296
154 2 992153 7846 0 2
154 3 998580 1421
154 4 976955 22486 0 549 10 0 1
154 5 782210 20973 0 2242 1937 10 1830 733 36 130 3 32 19 2 143 399 737 4865 1575 7995 11606 437 13334 14224 1007 14895 16602 5645 27706 12350 12561 20326 1550 10332 2287 406 164 38 33 217 43 1022 2615 197 2761 1303 162 284 23
154 6 995855 4143 0 3
154 7 970606 29220 0 175
154 8 994431 5515 0 55
154 9 982919 16800 0 282
155 1 963961 34896 0 1143 1
155 2 961362 37148 0 1486 5
155 3 988915 11075 0 11
155 4 933135 62531 0 4273 62
155 5 962698 34929 0 2322 52
155 6 993832 6158 0 11
155 7 973728 25811 0 462
155 8 989484 10409 0 108
155 9 984310 15200 0 491
156 1 961115 37643 0 1237 6
156 2 988684 11283 0 34
156 3 845311 59983 0 35779 29401 0 14571 3857 0 497 240 98 235 60 41 270 0 798 1643 0 2696 2946 4 1343 199 17 12
156 4 971180 28124 0 697
156 5 991987 7914 0 100
156 6 963593 36174 0 234
156 7 999642 359
156 8 965102 33076 0 1802 21
156 9 917702 75088 0 6250 847 0 105 9
