time: 1000000000
147 13 377262 202086 56 193234 56611 90081 72518 15 8072 36 30
147 14 941086 58299 0 524 51 41
147 15 822177 153405 0 19453 3306 1385 275
147 16 756237 193235 4 41641 3629 4270 968 0 17
147 17 967427 32458 0 116
147 18 928180 64328 0 5980 220 948 307 0 38
147 19 870881 112936 0 12748 2293 615 521 0 7
147 20 810554 150381 0 32228 3298 3021 519
148 1 802214 146009 416 40153 7361 1572 1780 51 352 68 5 14 2 4
148 2 821898 135621 213 33885 6070 855 1244 30 149 28 0 6 1 0 1
148 3 792518 149390 524 43891 8592 2099 2373 69 428 88 9 20
148 4 812581 139007 311 37668 6896 1345 1772 48 287 60 0 20 6
148 5 925680 71806 0 2305 100 109 1
148 6 928091 60516 0 8732 1382 1049 230 0 1
148 7 920614 76841 0 2050 262 209 25
148 8 948434 50714 0 798 48 7
148 9 945568 51221 0 2786 286 113 27
148 10 882195 114474 0 3081 173 78
148 11 875002 120700 0 3583 618 66 32
148 12 950208 49046 0 653 34 60
148 13 931682 67150 0 1163 3 3
148 14 878715 119867 0 1407 11 1
148 15 903899 81566 3 10372 861 2584 624 0 89 3
148 16 688880 264015 4 38796 3494 3790 1000 0 22
148 17 925560 70645 0 3462 138 196
148 18 911674 82249 0 5579 342 70 87
148 19 678613 229569 5 67827 12855 8711 2379 0 42
148 20 959146 40194 0 567 60 34
149 1 822967 136159 360 33264 5149 988 964 19 118 11 0 2
149 2 839123 126835 278 28092 4013 812 705 13 102 18 2 6 0 2
149 3 806325 145098 461 38580 6538 1366 1342 31 223 32 0 5
149 4 817734 136783 253 35423 6805 1018 1606 49 238 70 0 11 7 1 3
149 5 956384 42945 0 599 56 17
149 6 815537 165577 1 13925 3072 1162 645 1 81
149 7 935181 64399 0 421
149 8 956935 42416 0 594 47 9
149 9 903134 92768 0 3394 413 174 110 0 8
149 10 814436 161304 0 20273 2463 1181 344
149 11 840311 142818 3 13018 2148 1305 384 1 13
149 12 968532 29848 0 1223 106 281 11
149 13 884989 111439 0 3506 48 19
149 14 866866 127959 0 4644 251 281
149 15 906514 89110 0 4059 168 139 11
149 16 942571 57276 0 154
149 17 965858 32946 2 954 20 164 57
149 18 932704 66459 0 838
149 19 945023 54656 0 322
149 20 828240 152708 0 12269 4592 804 1336 1 51
150 1 840127 126592 150 27916 3999 501 624 20 57 13 0 2
150 2 827076 134626 89 31751 5088 447 795 20 90 16 0 3
150 3 846937 124627 156 24726 2899 300 321 6 27 2
150 4 856438 116704 37 23168 3070 200 353 7 22 2
150 5 750253 196171 8 40950 2022 9223 1283 0 91
150 6 789916 98299 11 82256 11544 13013 4758 0 204
150 7 951462 44268 0 3067 86 1000 118
150 8 949738 46348 0 3669 64 181 1
150 9 873810 108193 0 15244 785 1718 236 0 15
150 10 909076 88233 0 2505 86 100 1
150 11 814979 68403 3 63773 26680 8440 16199 59 1372 30 57 6
150 12 722351 217459 2 48288 1700 8849 1264 0 88
150 13 943636 53121 0 2999 89 156
150 14 750918 191440 1 44909 6895 4594 1203 1 40
150 15 557118 156605 55 154343 9476 71298 44271 2 6482 184 107 60
150 16 640740 253840 26 80290 3403 18166 3392 0 144
150 17 893127 100970 0 4926 437 504 37
150 18 810540 148218 1 32387 2179 5556 1084 0 36
150 19 622655 274327 22 78966 5985 15547 2457 0 42
150 20 825267 92237 2 63183 7993 8860 2412 0 47
151 1 821154 137649 299 33361 5370 1001 986 25 128 22 0 6
151 2 818852 136204 411 35242 6189 1299 1475 27 234 55 0 11 1 1
151 3 818958 138989 463 34053 5168 1209 995 13 131 19 2 1
151 4 819341 138554 215 34254 5655 738 1050 29 145 20
151 5 914063 83108 0 2274 89 421 46
151 6 941670 57415 0 411 97 122 244 0 42
151 7 927140 72183 0 678
151 8 905887 92096 0 2005 13
151 9 943949 54507 0 1490 25 30
151 10 947667 50656 0 1289 38 345 6
151 11 959182 40410 0 375 31 3
151 12 874925 117355 0 6434 719 360 205 0 3
151 13 740076 223223 1 28582 3478 3429 1076 0 136
151 14 872514 116010 0 7522 3042 180 708 1 24
151 15 927091 64499 0 6073 939 1226 173
151 16 931301 67402 0 1201 90 7
151 17 919878 74926 2 4308 245 608 34
151 18 886958 105544 0 5366 157 1526 424 0 26
151 19 961452 38442 0 107
151 20 894880 103113 0 1970 29 9
152 1 827951 135111 146 31025 4649 436 596 20 58 8 0 1
152 2 837135 128850 278 28519 3923 651 575 14 53 3
152 3 827369 131207 424 32853 5407 1282 1197 30 188 32 9 3
152 4 841604 126962 182 26712 3552 468 473 5 41 2
152 5 915329 82149 0 2461 52 10
152 6 896584 96938 0 4852 456 947 224
152 7 844227 145909 0 7299 1378 760 422 0 6
152 8 891686 107793 0 472 7 43
152 9 831603 125727 0 34377 4039 3428 773 0 54
152 10 806231 108451 0 65977 9898 8241 1194 0 9
152 11 876802 113611 0 8194 199 897 259 0 39
152 12 892600 101590 0 4929 211 623 48
152 13 940527 54517 0 4303 102 335 186 0 31
152 14 921158 76329 0 2010 393 108 3
152 15 824210 165003 0 8786 792 978 206 0 26
152 16 945713 52118 0 2002 41 127
152 17 959503 39708 0 733 37 20
152 18 924606 73652 0 1576 60 103 4
152 19 863109 133965 0 2915 11 1
152 20 868711 110356 0 17113 2390 1190 229 0 12
153 1 853465 120807 144 22352 2616 274 308 5 28 2
153 2 871076 107951 130 18370 2015 199 217 4 28 9 0 1 1
153 3 832153 131526 407 29799 4420 726 812 22 103 22 1 7 0 2 1
153 4 839648 126382 427 27357 4160 954 863 15 163 27 1 4
153 5 809491 143089 506 37230 6415 1290 1570 39 272 72 0 22 4 0 1
153 6 813681 142721 408 35145 5533 1128 1158 25 162 35 0 5
153 7 902079 86362 52 10694 711 67 34 0 2
153 8 811139 144429 284 35513 6122 903 1297 38 218 40 5 12 1
153 9 822379 139020 220 31714 4921 648 908 35 111 31 2 11 1
154 1 856431 117170 96 22693 2992 232 354 10 21 2
154 2 817789 140003 257 33887 5816 793 1191 37 163 35 1 16 2 5 6
154 3 854722 118196 264 22751 2997 465 518 14 68 5 0 1
154 4 818442 140170 214 33520 5587 775 1083 31 151 24 0 4
154 5 829009 133465 397 30513 4807 768 880 21 110 24 0 6 1
154 6 827385 135121 169 30812 4935 557 841 37 116 26 0 2
154 7 890601 95053 148 12888 1058 146 97 2 8
154 8 807689 145281 320 36928 6840 1007 1545 62 257 49 0 13 5 1 3 0 1
154 9 832242 131684 332 29737 4438 680 769 31 78 10
155 1 866244 111834 77 19308 2125 183 210 3 15 2
155 2 842367 126592 240 26106 3541 488 563 19 66 14 0 5
155 3 859894 113011 213 22522 3203 469 584 15 72 16 0 2
