time: 1000000000
147 18 956127 37734 0 3860 1758 0 407 97 0 18
147 19 994406 5582 0 13
147 20 995887 4090 0 24
148 1 985321 14107 0 570 3
148 2 999739 261 0 1
148 3 995968 4000 0 33
148 4 979228 20640 0 133
148 5 946799 45646 0 5070 1002 28 560 379 10 220 0 190 83 0 14
148 6 722159 141631 0 85740 35643 623 10947 2495 378 343 0 16 7 0 12 7
148 7 779359 120026 0 69715 23007 0 6480 1227 0 149 0 32 6
148 8 997872 2009 0 64 47 0 9
148 9 985485 9521 0 2902 1406 0 561 123 0 3
148 10 914355 79834 0 2762 989 591 866 64 242 125 0 88 8 57 20
148 11 999933 68
148 12 959153 19553 0 7244 3820 0 4110 4149 0 1792 0 177 3
148 13 938236 34251 0 25579 1884 14 36 1
148 14 999961 40
148 15 903775 92604 0 3278 154 61 40 0 35 38 0 15 1
148 16 838443 97561 0 46483 12675 88 3501 933 0 196 0 53 21 0 18 9 0 14 0 6
148 17 999572 429
148 18 989954 10042 0 5
148 19 999979 22
148 20 918096 60195 0 18101 2254 191 921 164 31 39 0 9
149 1 966432 32173 0 1390 6
149 2 954141 42483 0 3265 109 1 2
149 3 995523 4454 0 24
149 4 991726 8083 0 192
149 5 993825 6121 0 47 8
149 6 999022 979
149 7 570343 125613 1 133529 70604 19229 46133 1163 22167 9055 23 1862 164 48 28 4 19 11 0 5
149 8 966714 15893 0 12320 933 826 1154 1 1172 743 0 187 32 4 16 0 6
149 9 680075 115647 35 118960 35897 29068 16812 132 2732 342 43 112 21 56 32 7 23 2 3 2
149 10 963080 32773 0 3828 209 0 36 41 0 29 0 5
149 11 473817 268876 207 162421 15980 23752 23737 2440 14530 8376 1075 3630 461 477 192 20 9 1
149 12 998813 902 0 248 27 11
149 13 936085 56961 0 5997 460 56 212 123 0 54 0 33 20
149 14 999947 54
149 15 758800 95092 6 95722 42104 3810 4132 69 101 56 0 34 14 28 17 10 0 6
149 16 997910 2091
149 17 554056 198252 100 163150 40469 26698 14247 134 2337 395 13 64 22 1 30 8 18 7
149 18 909071 51250 0 30687 3519 2760 881 746 11 662 0 284 84 5 26 8 6 1
149 19 994454 5509 0 29 9
149 20 997214 2660 0 57 15 0 6 13 0 17 0 16 3
150 1 988818 11068 0 115
150 2 924257 69316 0 6117 302 0 9
150 3 940654 54562 0 4661 123 0 1
150 4 996873 3094 0 34
150 5 874755 44536 0 48405 24032 811 6313 31 949 110 0 36 20 2 1
150 6 998123 1869 0 9
