time: 1000000000
147 12 963403 26814 0 6838 1956 113 528 119 86 69 0 28 11 0 22 14
147 13 990082 5300 0 3462 1066 0 56 30 0 5
147 14 931887 21881 0 27932 14827 327 2889 190 49 18 0 1
147 15 921934 67663 1 4139 1806 1398 1925 4 712 244 3 102 21 39 10
147 16 999930 65 0 5 1
147 17 998397 706 0 517 130 81 88 0 66 16
147 18 980000 12416 0 5136 1786 0 538 105 0 18 0 2
147 19 993549 6391 0 14 34 0 13
147 20 997206 2783 0 12
148 1 983441 15792 0 759 9
148 2 998307 1652 0 42
148 3 992690 7269 0 42
148 4 978302 21397 0 302
148 5 903601 69518 0 18623 6068 28 1635 297 18 102 0 47 34 0 17 13
148 6 739291 153836 0 75292 23843 682 5839 859 126 161 0 41 13 0 13 4 0 1
148 7 809721 110609 0 60965 15484 99 2676 347 1 64 0 29 6
148 8 997824 2047 0 77 49 0 4
148 9 989034 5323 0 3326 1788 0 368 84 0 45 0 31 2
148 10 869356 116547 4 10566 1663 908 489 97 113 68 15 77 12 64 22
148 11 999922 79
148 12 934008 27666 0 10996 7017 0 8044 8169 18 3706 0 370 7
148 13 834365 114179 0 49003 2362 0 84 8
148 14 999967 34
148 15 879285 91974 2 16931 5463 2084 3112 6 884 139 1 65 9 33 13
148 16 726588 189878 0 63315 16170 114 3370 421 0 75 0 31 7 0 9 13 0 8 0 2
148 17 998615 826 0 180 130 0 111 67 0 60 0 12
148 18 985839 13699 0 358 66 0 32 7
148 19 999930 71
148 20 804767 128046 2 57467 8131 726 673 19 59 51 5 44 11
149 1 951318 46038 0 2601 43 0 1
149 2 940050 54484 0 5248 217 0 2
149 3 993271 6678 0 52
149 4 988793 10992 0 216
149 5 981875 11340 0 3884 2167 0 654 76 0 5
149 6 997596 2334 0 30 29 0 12
149 7 504581 135680 14 151444 82787 14062 56465 1714 33107 15579 69 3721 494 31 88 32 36 51 0 28 6 6 6
149 8 969957 14222 5 10918 816 1041 1050 1 1063 649 3 201 35 21 12 0 5 2
149 9 671434 118563 49 128057 35406 27726 15676 264 2293 291 28 71 16 43 47 7 23 0 7
149 10 962322 34847 0 2495 186 0 82 38 0 26 0 5
149 11 370198 270481 161 199404 29579 49415 41251 6982 16811 10319 866 3476 440 372 191 21 30 2 2
149 12 982827 8750 0 8304 78 11 14 17
149 13 923931 57726 0 9790 4657 50 3100 584 0 78 0 52 21 0 12
149 14 999636 362 0 3
149 15 660753 181839 12 113410 27427 10725 5120 140 354 43 1 38 21 29 52 14 17 6
149 16 997673 2328
149 17 470107 249705 201 184954 41485 34472 16335 160 1959 255 16 101 51 34 91 14 41 19 0 1
149 18 859633 60302 18 53802 7639 8248 6299 2022 1185 648 65 85 0 21 22 0 11 1
149 19 994553 5415 0 32 1
149 20 985133 9342 8 3654 431 1029 295 23 62 20 3 1
150 1 988224 11551 0 226
150 2 910669 80684 0 8170 459 2 17
150 3 930217 63361 0 6208 213 0 2
150 4 996991 2973 0 37
150 5 859803 63357 0 47888 20988 923 6059 20 798 69 0 49 34 7 6
150 6 976318 14342 0 8002 1214 4 77 8 0 20 0 13 3
150 7 366640 216024 0 241558 127601 56 40130 6880 14 677 0 115 89 0 64 82 0 53 0 14 4
150 8 908446 33932 12 38267 3733 12271 2833 7 380 30 12 14 5 14 2 13 11 1 13 3 0 2
150 9 999945 56
150 10 969465 21389 0 5345 1799 353 884 570 0 115 0 25 20 0 27 8 0 1
150 11 995135 3846 0 894 126
150 12 998779 1202 0 20
150 13 999987 14
150 14 577144 180322 0 164783 61503 2421 11268 1594 358 365 5 65 35 23 52 7 40 11 3 2
150 15 987103 12516 0 173 24 78 60 0 38 7 1 1
150 16 964804 21526 0 9743 3656 0 244 11 14 3
150 17 892846 61951 90 31178 3644 8188 1774 5 190 44 24 53 0 14
150 18 992038 5238 0 1294 880 0 366 128 0 21 0 18 17 0 1
150 19 557211 133988 0 154254 95589 635 41569 11853 1134 3016 0 559 96 0 49 25 3 17 0 3
150 20 904547 29555 0 36604 20188 2275 5931 11 723 82 0 43 29 7 6
151 1 961932 35841 95 2096 29 8
151 2 955035 41860 0 3028 77 0 1
151 3 981781 17390 0 819 11
151 4 957078 40958 0 1925 40
151 5 812066 118502 0 62038 7037 88 224 0 19 11 0 15 1
151 6 999895 106
151 7 731822 132196 0 89835 33782 132 9135 2053 1 662 0 208 102 0 48 21 0 4
151 8 979996 18935 5 615 66 216 80 0 42 11 2 19 0 14
151 9 991644 8301 0 39 8 9
151 10 542208 222778 0 155792 40900 2858 20083 9108 1450 3804 0 740 113 0 64 64 0 35 0 4
151 11 818580 70248 6 55886 25977 6411 13900 234 5602 2193 16 632 145 85 58 3 17 3 5
151 12 988634 10023 0 1047 190 0 54 18 4 24 0 7
151 13 929939 52813 0 14692 1880 0 388 103 0 72 0 50 47 0 17
151 14 827101 96969 17 50346 15998 5046 3726 421 126 99 12 77 35 15 13
151 15 997266 1367 0 518 75 341 261 0 110 13 28 22
151 16 999989 12
151 17 987629 12326 0 13 7 5 12 0 9
151 18 556587 154880 24 181534 58183 26815 18752 216 2461 305 1 79 41 22 42 0 44 10 3 2
151 19 505593 230802 48 202424 12800 34345 11152 15 2393 288 37 30 4 28 24 5 11 0 2
151 20 995125 2148 0 2594 64 70
152 1 964654 32390 2 2833 114 4 4
152 2 971629 26901 0 1432 39
152 3 993800 6064 0 137
152 4 913527 78729 0 7362 375 0 8
152 5 990511 9079 0 185 68 49 50 0 25 12 0 8 9 4 1
152 6 957311 37630 0 4560 465 0 35
152 7 998817 1184
152 8 714584 187892 0 69310 21850 10 4764 1082 0 181 0 66 92 0 75 47 0 32 0 16
152 9 939539 24968 0 19021 12336 96 3511 359 19 69 0 21 34 0 14 11 0 3
152 10 853583 60768 0 51861 26866 0 6159 619 0 82 0 31 25 0 7
152 11 996104 2966 0 605 258 0 37 30 0 1
152 12 441972 232349 24 193792 76989 12317 30548 2794 6376 2002 10 444 146 15 68 42 24 69 0 19 1
152 13 999981 20
152 14 848082 107398 0 28863 10417 365 3372 1064 87 279 0 71 3
152 15 982563 12924 0 3574 595 59 106 50 11 41 0 55 13 9 1
152 16 999957 44
152 17 985486 14508 0 7
152 18 864114 68263 1 53932 6002 3640 2048 0 1432 469 10 62 0 7 11 0 9 1
152 19 982275 15617 10 1710 104 181 54 2 11 4 8 15 0 10
152 20 610538 111983 19 146279 73977 18072 31463 1788 4524 861 64 219 102 10 62 32 0 8
153 1 991900 8035 0 66
153 2 993543 6398 0 60
153 3 975724 23710 0 567
153 4 954700 42407 5 2821 66 2
153 5 937629 58915 0 3393 64
153 6 991466 8466 0 69
153 7 983856 15860 0 285
153 8 982890 16628 1 481 1
153 9 953155 44706 3 2100 36 1
154 1 996048 3938 0 15
154 2 981105 18488 0 397 10 0 1
154 3 997360 2634 0 7
154 4 972508 26767 0 726
154 5 911842 82107 0 5919 127 0 6
154 6 983514 16051 2 430 4
154 7 966290 32125 0 1564 22
154 8 977925 21404 0 664 8
154 9 971600 26633 0 1724 43 1
155 1 952609 43844 0 3448 100
155 2 960331 35528 1 3918 214 4 5
155 3 988936 10872 0 190 3
155 4 993769 6121 0 111
155 5 973515 25554 0 925 7
155 6 962706 33583 0 3487 216 3 6
155 7 994724 5271 0 6
155 8 982389 16707 0 888 16 1
155 9 925255 67989 0 6493 256 0 8
156 1 992834 7148 0 19
156 2 974269 24073 0 1618 41
156 3 974248 24778 0 967 8
156 4 996015 3910 0 75 1
156 5 991831 8108 0 62
156 6 945981 50957 0 3024 38 1
156 7 940447 56129 2 3355 67 1
156 8 932441 62641 0 4772 147
156 9 994424 5558 0 19
