time: 1000000000
147 8 730279 56048 0 457 507 2 544 459 144 22828 25 161634 25525 1 264 28 73 114 0 133 129 0 158 479 0 170
147 9 769019 80584 0 226 230 16 245 154 1255 37558 922 26339 13388 0 10092 1889 4709 4518 30 2875 3007 259 8584 26006 1080 5069 114 52 162 11 153 174 0 176 273 0 710 122
147 10 888436 111565
147 11 956955 43002 0 44
147 12 972531 27469 0 1
147 13 997802 1815 0 327 57
147 14 615806 221004 0 253 127 0 151 136 14 164 3 168 184 0 198 208 0 208 289 0 21084 85133 2019 51628 844 380
147 15 796798 53641 0 125 129 7 145 153 7 385 87 60257 81158 24 5865 1 207 201 1 207 178 14 116 0 199 96
147 16 910712 24381 0 236 262 0 301 274 37 335 17267 2583 40915 1759 939
147 17 983036 16965
147 18 990366 9635
147 19 979835 19682 0 132 136 2 154 59 0 1
147 20 985089 14912
148 1 616377 150409 0 45680 24276 12 20201 13569 573 6049 758 886 487 358 485 3515 0 8763 10995 25 12183 13447 5585 19599 2616 9249 6710 209 3618 4578 526 7987 4953 805 1832 819 280 986 135 306 117 0 27 11 0 5
148 2 993129 6828 0 44
148 3 885816 89341 0 19477 3893 0 749 348 26 280 15 54 2
148 4 820621 92799 0 46092 24177 0 10570 3416 7 724 173 149 446 69 366 169 0 59 56 0 77 28 0 3
148 5 978152 21457 0 119 140 0 117 16
148 6 791742 26375 0 28369 16326 0 16364 6884 28 9863 81658 824 21568
148 7 707617 223464 0 13041 564 0 783 825 1 2066 8575 7579 28660 0 3660 458 0 494 488 5 500 461 60 427 0 271 2
148 8 987906 12095
148 9 995125 4876
148 10 918253 79005 0 2318 420 0 5
148 11 973452 22744 0 103 94 6 100 2 97 160 0 2392 851
148 12 994969 5030 0 2
148 13 901577 27085 0 190 197 0 189 3 178 338 0 742 287 0 4083 7382 20971 8127 32 5992 3791 130 9373 4189 4743 402
148 14 979983 20018
148 15 928593 61538 0 277 285 15 286 10 197 224 0 4835 3632 0 109
148 16 961518 38344 0 112 27
148 17 749053 31266 0 889 671 0 610 581 40 9544 9287 99787 96204 4 1684 329 0 52
148 18 754929 45766 0 533 140 0 552 12536 981 28453 3734 59126 90176 3 3072
148 19 723514 4358 0 344 407 0 1315 6834 406 24787 15757 36095 19128 0 459 431 0 461 449 0 963 10577 7523 113496 1786 27917 288 0 306 322 0 318 331 0 372 565 321 171
148 20 999859 142
149 1 941978 55455 0 2521 44 0 3
149 2 939168 57973 0 2854 6
149 3 823002 148571 0 18622 924 0 357 396 0 325 399 177 2282 447 2965 1396 0 132 6
149 4 996434 3554 0 13
149 5 929864 70132 0 5
149 6 944177 55824
149 7 984930 15070 0 1
149 8 934885 64831 0 283 2
149 9 911636 38131 0 136 124 0 146 159 0 185 13940 3622 31528 0 394
149 10 935945 56184 0 7872
149 11 968255 25045 0 5004 1697
149 12 999584 417
149 13 999006 995
149 14 906158 92279 0 97 94 9 99 4 95 96 0 383 625 0 62
149 15 981842 16429 0 221 167 11 213 25 174 192 0 295 424 0 8
149 16 983227 16774
149 17 970639 23975 0 4256 1055 0 76
149 18 922234 59227 0 503 544 0 469 428 24 492 835 6415 8540 4 286
149 19 830174 150517 0 16614 138 0 209 2162 3 184
149 20 976256 23745
150 1 978264 20787 0 944 6
150 2 946575 50380 0 2968 77 0 1
150 3 956089 41612 0 2273 27
150 4 951302 45048 0 3506 139 0 6
150 5 902399 23052 0 603 585 4 633 72 770 28278 0 43144 461
150 6 987961 12040
150 7 998938 1063
150 8 993547 6454
150 9 923125 76876
150 10 957075 42906 0 20
150 11 997999 1002 0 359 504 0 137
150 12 766065 151640 0 305 232 0 36541 17613 12518 1822 0 8277 4984 0 4
150 13 999327 674
150 14 875026 55736 0 1343 1926 2 5756 6979 29825 22102 0 1306
150 15 518780 3080 0 5976 13007 0 4924 72 45 138 0 428 786 0 782 4115 2659 39959 18762 2450 421 61 371 460 0 487 496 79723 5556 236888 23296 36279
150 16 989646 10355
150 17 985614 14383 0 4
150 18 987858 12143
150 19 936607 61707 0 300 276 13 313 38 231 218 0 179 108 0 11
150 20 959237 34318 0 1910 1422 0 1238 310 869 695 0 2
151 1 951418 45787 0 2750 32 0 7 3 1 3
151 2 992588 7225 0 186 2
151 3 968717 30183 0 1101
151 4 897270 93342 0 9124 265
151 5 911725 23329 0 55114 9833
151 6 862087 119219 0 6229 10349 0 1034 310 11 498 4 254 6
151 7 991073 8928
151 8 996996 3005
151 9 914612 64863 0 8488 7170 0 4868
151 10 749650 19938 0 130 190 1 1580 15001 5203 35075 5102 53122 92388 3 2898 684 0 695 580 0 534 636 251 7191 379 8640 130
151 11 976776 23225
151 12 928363 50451 0 423 434 0 751 4678 0 6763 339 2649 3312 0 226 233 0 262 255 0 429 413 20
151 13 950555 47811 0 264 287 0 304 330 0 242 14 160 34
151 14 841351 152380 0 6270
151 15 975900 18077 0 130 133 0 142 165 0 152 1866 194 3239 1 2
151 16 984786 15215
151 17 982500 17501
151 18 952953 46221 0 123 135 0 566 3
151 19 981679 18322
151 20 967166 32832 0 3
152 1 984553 14855 0 593
152 2 911744 82508 0 5670 79
152 3 919341 40953 0 5387 1508 0 6293 12909 136 10351 1323 1526 271 1 2
152 4 973442 25974 0 582 3
152 5 987238 12763
152 6 976424 23576 0 1
152 7 642959 52960 0 6006 42525 0 29020 15083 174 1644 17944 37445 136386 82 17773
152 8 994795 5027 0 179
152 9 974880 16491 0 119 128 0 146 144 4 167 350 1833 4777 26 936
152 10 999509 115 0 118 190 0 69
152 11 944444 45591 0 98 102 0 108 76 44 129 0 204 6746 0 2459
152 12 969593 28207 0 325 216 12 210 13 180 217 0 504 306 0 106 13 86 13
152 13 983912 15222 0 126 132 0 141 154 1 175 1 125 12
152 14 996146 3855
152 15 574436 119641 0 1181 923 0 1109 1231 114 1943 6803 39720 56326 73 2961 983 0 1156 1435 22 1949 7297 3979 72874 4814 95376 1917 0 302 311 0 328 329 0 338 76 54
152 16 851858 86331 0 9760 7139 4 2543 560 10272 6694 0 12669 11800 0 371
152 17 994726 5275
152 18 996501 3500
152 19 986335 13666
152 20 814637 74031 0 2025 391 10 403 416 10 1653 21086 31062 53053 0 1224
153 1 963740 35441 0 817 3
153 2 810524 115533 0 37952 11795 29 4307 1589 199 2224 217 4328 5634 3 3678 1134 2 343 235 57 165 11 39 2 0 1
153 3 988707 11226 0 68
153 4 992756 7228 0 17
153 5 973753 25096 0 1139 13
153 6 929879 64593 0 5399 130
153 7 996588 3412 0 1
153 8 874822 105232 0 11111 832 0 705 506 0 141 140 0 945 2372 10 2028 0 707 302 0 122 25 0 1
153 9 993485 6460 0 56
154 1 981523 17880 0 595 3
154 2 978685 20596 0 720
154 3 996123 3825 0 53
154 4 908984 77169 0 12540 1260 0 46 2
154 5 760362 51775 0 4706 151 7 119 98 209 522 8 958 1636 190 2464 2676 1990 12664 12173 9017 17749 1707 10100 12473 2426 17592 10548 6095 18734 4315 13876 9924 359 2438 352 42 317 442 390 1292 115 1420 2068 177 1853 1098 149 207 15 2 1
154 6 991790 8182 0 29
154 7 962810 36977 0 214
154 8 983879 15828 0 294
154 9 976071 23267 0 663
155 1 904168 84404 0 10714 680 0 34 1
155 2 942998 53966 0 2977 60
155 3 984864 14893 0 244
155 4 857457 121727 1 18569 1330 31 500 200 111 71 0 4
155 5 922568 67764 0 7835 1357 0 444 33
155 6 979289 19902 0 796 14
155 7 881534 106356 0 11876 174 0 35 20 0 6
155 8 940586 51978 0 6937 486 0 14
155 9 967854 31120 0 1022 5
156 1 887024 102106 0 9863 150 0 271 374 1 188 18 6
156 2 965832 33234 0 932 3
156 3 701103 96143 0 35677 17884 0 12931 8470 2 11731 25836 3826 39794 15516 8528 9427 0 5274 3041 1 1209 431 3 211 190 188 783 29 809 450 2 109 20 3 30 27 48 120 0 111 38 0 6
156 4 919959 71340 0 8155 532 0 15
156 5 983693 15965 0 340 3
156 6 942208 55971 0 1784 19 0 9 10
156 7 999398 602 0 1
156 8 958416 38952 0 2593 40
156 9 869374 73751 0 7965 1394 0 1427 3924 0 9941 12444 1752 8472 774 1035 169 0 53 139 6 795 1816 267 2541 562 917 404 3 69 5 1 1
