time: 1000000000
147 7 885487 92330 1 17124 2318 2071 623 0 47
147 8 878734 89620 5 21506 4476 3305 1946 0 328 47 29 5
147 9 927737 57422 0 10708 1036 1950 948 1 198 1
147 10 841027 124728 2 23843 1168 5935 2373 0 731 155 20 19
147 11 886789 89488 2 18466 2074 2420 731 0 31
147 12 907921 79659 3 10243 963 787 235 0 108 42 24 16
147 13 756190 111819 13 85089 14418 18825 12385 0 1242 12 8
147 14 907780 78602 0 10011 1099 1910 571 0 28
147 15 878352 101876 0 15093 2389 1568 679 2 42
147 16 912035 60076 16 18801 1917 5021 1799 0 306 5 25
147 17 863667 111832 0 17906 3202 2054 994 0 194 51 48 53
147 18 888366 93091 0 14000 1978 2070 461 0 35
147 19 915916 63210 3 15207 3242 1286 997 3 137
147 20 845910 119219 7 25809 3634 4236 1112 0 74
148 1 831842 134945 146 28316 3714 420 549 10 48 9 1 1
148 2 830506 135305 168 29134 3821 464 518 8 67 9 1
148 3 830832 133745 290 29402 4186 725 725 12 62 19 1 2
148 4 864211 113350 136 19942 2020 191 148 0 3
148 5 892466 94927 1 9504 1099 1417 516 0 71
148 6 938472 54083 0 5891 615 687 169 1 64 5 14
148 7 883829 103975 2 9636 997 1249 311 0 2
148 8 939619 54751 0 4261 439 733 195 0 3
148 9 891009 93466 0 10725 2294 1785 601 0 110 7 4
148 10 846623 125086 3 22513 2579 2606 540 0 51
148 11 887802 87393 0 17265 3657 2030 1589 1 250 14
148 12 931186 63715 4 3517 384 827 358 0 10
148 13 899941 85183 1 11446 914 2042 456 0 18
148 14 918266 74735 0 5548 789 377 227 1 58
148 15 874688 104052 5 15823 2136 2399 816 0 82
148 16 890376 86963 2 16725 2273 2768 800 0 93 1
148 17 883392 100558 1 12653 1316 1510 549 1 21
148 18 927655 61421 0 8340 1798 477 265 0 45
148 19 858900 109998 2 22063 3455 3166 2035 3 366 6 7
148 20 909415 82964 0 5599 990 704 323 0 6
149 1 813712 142878 239 35210 5853 808 1095 28 142 24 6 6
149 2 832386 131436 259 29717 4530 686 825 27 111 20 0 4
