time: 1000000000
150 2 964483 34525 0 989 4
150 3 978068 21521 0 412
150 4 973411 25869 0 721
150 5 986546 13455
150 6 987768 12233
150 7 998358 1643
150 8 987248 12753
150 9 973236 26765
150 10 991947 8054
150 11 997335 1984 0 603 49 30
150 12 786930 176926 0 31378 828 3936 3
150 13 999523 478
150 14 953631 46347 0 23
150 15 740773 141758 0 101318 1167 8193 5930 0 862
150 16 999608 393
150 17 997786 2215
150 18 999302 699
150 19 945397 53373 0 729 19 346 136 0 1
150 20 964701 35101 0 199
151 1 964194 34658 0 1145 4
151 2 997938 2062 0 1
151 3 971239 28031 0 730 1
151 4 943268 53824 0 2867 42
151 5 994028 5973
151 6 953741 46137 0 123
151 7 990830 9171
151 8 996923 3078
151 9 982544 17456 0 1
151 10 990654 9342 0 5
151 11 971709 28292
151 12 893347 66158 0 32658 6789 816 233
151 13 978612 20477 0 732 177 0 3
151 14 918803 81148 0 50
151 15 999577 424
151 16 998855 1146
151 17 989118 10883
151 18 954469 44680 0 605 105 103 39
151 19 990722 9279
151 20 976955 23046
152 1 994385 5586 0 30
152 2 941691 55543 0 2754 12 1
152 3 987755 11783 0 460 3
152 4 979724 19957 0 318 2
152 5 996765 3236
152 6 988680 11321
152 7 835600 84378 0 57784 12276 8318 1645
152 8 997719 2282
152 9 976490 18362 0 3645 729 594 180 0 1
152 10 1000001
152 11 952031 38998 0 7465 166 1288 53
152 12 973629 25683 0 526 21 108 34
152 13 985939 13422 0 335 152 100 53
152 14 994950 5051
152 15 639968 180449 0 112549 30512 29295 7206 0 22
152 16 772543 168381 0 53024 3623 2350 80
152 17 998405 1596
152 18 999997 4
152 19 998974 1027
152 20 898636 89358 0 10913 712 373 9
153 1 975386 24099 0 515 1
153 2 941562 54506 1 3818 114
153 3 986939 13001 0 61
153 4 995160 4833 0 8
153 5 987032 12587 0 381 1
153 6 961338 36586 0 2032 45
153 7 997113 2887 0 1
153 8 958502 40535 0 959 5
153 9 994010 5974 0 17
154 1 993041 6874 0 86
154 2 986362 13397 0 242
154 3 997622 2333 0 46
154 4 956597 41558 0 1831 15
154 5 932304 60100 8 7184 383 8 14
154 6 993051 6925 0 25
154 7 970234 29668 1 98
154 8 990881 8947 0 173
154 9 979499 20111 0 391
155 1 954760 42872 0 2311 58
155 2 954938 43245 0 1810 8
155 3 989148 10836 0 17
155 4 936920 58741 7 4246 87
155 5 955539 42441 0 2001 20
155 6 988574 11162 0 264 1
155 7 961206 37342 4 1423 26
155 8 967333 31154 0 1487 27
155 9 979494 19930 0 576 1
156 1 959943 38850 0 1207 1
156 2 979613 19824 0 560 4
156 3 946781 49204 0 3906 108 0 2
156 4 961310 37493 1 1196 1
156 5 987201 12693 0 107
156 6 963318 36110 0 568 4 1
156 7 999554 447
156 8 970896 28035 0 1064 6
156 9 940320 56450 0 3125 102 0 4
